Prov,,Company name,Company Twitter,,Company Twitter,"Nb. of 
Employees",What do they do (Verbatim - 10 words max.)  ,Link to website,HQ City,HQ Country,CEO name,CEO Twitter,,CEO's Twitter,Link to jobpage
Legacy,Old,AppendTo,appendTo,twitter.com/,twitter.com/appendTo,11-50,We are a leader in modern web development specializing in custom solutions ,http://appendto.com/,IL,USA,John Kellar,johnkellar,twitter.com/,twitter.com/johnkellar,http://appendto.com/careers/
,New,Applied Brain Research,,,twitter.com/abr_inc,11-50,Surprisingly good at AI and robotics,https://appliedbrainresearch.com/,Waterloo,Canada,Dr. Chris Eliasmith,,,,
,New,Appnovation,,,twitter.com/Appnovation/,201-500,Global Digital Solutions and Managed Services provider ,https://www.appnovation.com,"Vancouver, BC",Canada,Arnold Leung,,,,
,New,Apptio,,,twitter.com/Apptio,51-200,The business management system of record for hybrid IT,https://www.apptio.com/,"Bellevue, WA",USA,Sunny Gupta,,,https://twitter.com/sguptaapptio,
,Old,Aptible,,,twitter.com/aptible,11-50,Deploy your app. Design your security management program. Meet requirements.,aptible.com,"San Francisco, CA",USA,Chas Ballew,,,twitter.com/chasballew,
Legacy,Old,Araize,FastFundOnline,twitter.com/,twitter.com/FastFundOnline,1-10,"Non-profit accounting, fundraising & payroll",http://www.araize.com/,"Chapel Hill, NC",USA,Joseph Scarano,,,,
,Old,ArangoDB,,,twitter.com/arangodb,11-50,ArangoDB is the leading native multi-model NoSQL database,arangodb.com/,"San Francisco, CA",USA,Claudius Weinberger,,,twitter.com/weinberger ,
,New,Argent,,,twitter.com/argenthq,1-10,Safest and simplest way to access the next era of the internet — the decentralised web.,https://www.argent.xyz/,London,UK,Itamar Lesuisse,,,https://twitter.com/itamarl,
Legacy,Old,Arkency,arkency,twitter.com/,twitter.com/arkency,1-10,Our speciality is working with legacy software,http://arkency.com/,Poland,Poland,Andrzej Krzywda,andrzejkrzywda,twitter.com/,twitter.com/andrzejkrzywda,
Legacy,Old,Art & Logic,artandlogic,twitter.com/,twitter.com/artandlogic,51-200,We don’t just build software - We build it better.,http://artandlogic.com/,"Pasadena, CA",USA,Paul Hershenson,phershenson,twitter.com/,twitter.com/phershenson,http://artandlogic.com/careers/
,New,ART19,,,twitter.com/art19co,11-50,a Podcasting company,http://www.art19.com/,"San Francisco, CA",USA,SEAN CARR,,,,
Legacy,Old,Articulate,Articulate,twitter.com/,twitter.com/Articulate,51-200,"It’s the world’s favorite e-learning authoring tool, better than ever.",https://www.articulate.com/,"New York, NY ",USA,Adam Schwartz,GetAdam,twitter.com/,twitter.com/GetAdam,https://www.articulate.com/company/careers.php
Legacy,Old,"Artisanal Code, Inc.",artisanalcode,twitter.com/,twitter.com/artisanalcode,1-10,Custom software development,http://artisanalcode.com/,"New York, NY",USA,,,,,
Legacy,Old,AsmallOrange,asmallorange,twitter.com/,twitter.com/asmallorange,51-200,Homegrown Hosting - quality web hosting backed by top notch support.,https://asmallorange.com/,"Austin, TX",USA,,,,,https://asmallorange.com/why/careers/
Legacy,Old,Assemble,assemblejs,twitter.com/,twitter.com/assemblejs,1-10,Marketing toolkit for Movies,http://assemble.me/,,,,,,,http://assemble.me/careers
Legacy,Old,Assembled Brands,assembledbrands,twitter.com/,twitter.com/assembledbrands,51-200,Fashion and home goods brands and retail,https://assembledbrands.com/,"New York, NY",USA,Adam Pritzker,adampritzker,twitter.com/,twitter.com/adampritzker,www.indeed.com/q-Assembled-Brands-jobs.htm
,New,Astro HQ,,,twitter.com/astropadapp,1-10,We build hardware and software tools that unlock creativity and productivity.,http://astropad.com,"San Francisco, CA",USA,Matt Ronge,,,https://twitter.com/mronge,
Legacy,Old,Attentiv,getattentiv,twitter.com/,twitter.com/getattentiv,1-10,Attentiv is the ultimate decision-making and team collaboration platform. ,http://attentiv.com/,Washington,USA,Daniel Russell,dnlRussell,twitter.com/,twitter.com/dnlRussell,http://attentiv.com/jobs/
,New,Attractions.io,,,twitter.com/attractions_io,1-10,Mobile apps for attractions,https://attractions.io/,Staffordshire,UK,Mark Locker,,,,
,New,Aula,,,twitter.com/aula_education,11-50,University’s digital campus: a communication platform.,https://aula.education/,Oxford,UK,Anders Krohn,,,https://twitter.com/anders_krohn,
Lukasz,Old,Aurity,aurityteam,twitter.com/,twitter.com/aurityteam,1-10,Specializing in React and React Native.,https://www.aurity.co/join-us,London,UK,Peter Kowalczyk,,,https://twitter.com/peter_kow?lang=en,https://www.aurity.co/
Legacy,Old,Auth0,auth0,twitter.com/,twitter.com/auth0,51-200,Identity made simple for developers,https://auth0.com/,WA,USA,Jon Gelsey,jgelsey,twitter.com/,twitter.com/jgelsey,https://auth0.com/jobs
,Old,Authority Partners,,,twitter.com/APIknowsIT,201-500,"Technology for the Enterprise, Outsourcing, ",https://www.authoritypartners.com/,"Irvine, CA",USA,Amina Karić,,,,
,,Automattic,,,twitter.com/automattic,501-1000,"We are a distributed company, democratizing publishing and development.",https://automattic.com/work-with-us/,N/A,USA,Matt Mullenweg,,,,
